what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1405837729796
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1405837733234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405837834333
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405837834443
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1405838478945
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1405838483246
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405838575342
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405838581613
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1405838594904
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1405838597127
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405838603177
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405838608627
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1405838609614
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405838613234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405838618587
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1405838618663
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1405838618725
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1405838645224
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1405838645500
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1405838650132
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1405838650327
