what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406083729835
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1406083737688
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406083744869
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406083746054
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406083779011
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406083797748
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1406083801706
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1406083804115
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1406083811176
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1406083812268
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406083833216
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406083847015
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406083851095
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1406083860405
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406083863055
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406083863703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406083931137
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406083938338
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406083940850
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406083946658
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406083949505
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406083956624
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406083973375
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406083981901
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406083987765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084044673
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084055692
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406084071056
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084087760
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084094888
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406084096380
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084138047
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084146108
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084153561
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084157146
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406084157202
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1406084169739
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1406084181571
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1406084182925
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084271674
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084344393
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084380960
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084398138
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084402223
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084542593
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406084543678
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084565069
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084572594
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1406084650512
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1406084703364
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1406084735417
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1406084767929
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084772011
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084776033
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084776796
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084856050
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084865103
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084866009
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084885250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084887540
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084888178
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084900604
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084901995
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084905508
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084907018
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084919018
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406084922689
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406084942747
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406085009817
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1406085014325
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1406085021080
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406085022294
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406085027934
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406085954415
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406095558219
