what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1406077595339
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1406077595339
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1406077595347
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1406077595358
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1406077595375
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1406077595377
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1406077595398
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1406077595410
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1406077595426
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1406077595442
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1406077595461
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1406077595472
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1406077595485
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1406077595508
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1406077595517
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1406077595517
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1406077595527
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1406077595544
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1406077595564
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1406077595575
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1406077595586
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1406077595597
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1406077595612
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1406077595632
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1406077595635
os,sysinfo,,,"win32",1406077595643
arch,sysinfo,,,"x86",1406077595643
ws,sysinfo,,,"win32",1406077595643
locale,sysinfo,,,"zh_CN",1406077595643
processors,sysinfo,,,"4",1406077595643
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1406077595643
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1406077595643
java.specification.name,sysinfo,,,"Java Platform API Specification",1406077595643
java.specification.vendor,sysinfo,,,"Oracle Corporation",1406077595643
java.specification.version,sysinfo,,,"1.7",1406077595643
java.vendor,sysinfo,,,"Oracle Corporation",1406077595643
java.version,sysinfo,,,"1.7.0_02",1406077595643
java.vm.info,sysinfo,,,"mixed mode, sharing",1406077595643
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1406077595643
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1406077595643
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1406077595643
java.vm.specification.version,sysinfo,,,"1.7",1406077595643
java.vm.vendor,sysinfo,,,"Oracle Corporation",1406077595643
java.vm.version,sysinfo,,,"22.0-b10",1406077595643
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406077605111
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406077605202
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1406077605303
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406077774612
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406077779073
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406077780220
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406077782116
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406077782219
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406077782282
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406077783666
