what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107049898
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107049977
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107054008
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107059919
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107064637
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107065866
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107066916
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107102556
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406107103889
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107105412
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107107394
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406107114234
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406107117023
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406107135366
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107259743
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107267256
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107270654
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107311320
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1406107314510
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107317585
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107338820
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107342087
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107347512
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107347611
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107348881
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107354102
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107355016
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107355122
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107356369
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406107356815
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1406107357374
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1406107357392
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1406107357417
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1406107538682
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1406107538684
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1406107538704
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1406107538716
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1406107538731
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1406107538734
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1406107538747
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1406107538749
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1406107538750
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1406107538763
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1406107538771
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1406107538774
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1406107538776
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1406107538778
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1406107538790
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1406107538800
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1406107538801
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1406107538802
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1406107538803
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1406107538804
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1406107538805
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1406107538807
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1406107538808
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1406107538810
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1406107538811
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1406107538813
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1406107538814
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1406107538815
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1406107538816
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1406107538817
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1406107538818
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1406107538819
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1406107538820
